FACIAL_L_EyelidLowerB2 22547
FACIAL_L_EyelidLowerB3 9289
FACIAL_R_EyelidLowerB1 13628
FACIAL_R_EyelidLowerB2 19534
FACIAL_R_EyelidLowerB3 15275
FACIAL_L_EyeCornerInner1 21838
FACIAL_L_EyeCornerInner2 21758
FACIAL_R_EyeCornerInner1 18825
FACIAL_R_EyeCornerInner2 18745
FACIAL_L_EyeCornerOuter1 21734
FACIAL_L_EyelashesCornerOuter1 21734
FACIAL_L_EyeCornerOuter2 22260
FACIAL_R_EyeCornerOuter1 18721
FACIAL_R_EyelashesCornerOuter1 18721
FACIAL_R_EyeCornerOuter2 19247
FACIAL_L_12IPV_EyeCornerO1 3922
FACIAL_R_12IPV_EyeCornerO1 851
FACIAL_L_12IPV_EyeCornerO2 9736
FACIAL_R_12IPV_EyeCornerO2 15727
FACIAL_L_EyesackLower1 9610
FACIAL_L_EyesackLower2 4882
FACIAL_L_12IPV_EyesackL1 4931
FACIAL_L_12IPV_EyesackL2 5103
FACIAL_L_12IPV_EyesackL3 9309
FACIAL_L_12IPV_EyesackL4 22907
FACIAL_L_12IPV_EyesackL5 4785
FACIAL_L_12IPV_EyesackL6 4867
FACIAL_L_12IPV_EyesackL7 4766
FACIAL_L_12IPV_EyesackL8 4876
FACIAL_R_EyesackLower1 15601
FACIAL_R_EyesackLower2 1811
FACIAL_R_12IPV_EyesackL1 1860
FACIAL_R_12IPV_EyesackL2 2032
FACIAL_R_12IPV_EyesackL3 15294
FACIAL_R_12IPV_EyesackL4 19894
FACIAL_R_12IPV_EyesackL5 1714
FACIAL_R_12IPV_EyesackL6 1796
FACIAL_R_12IPV_EyesackL7 1695
FACIAL_R_12IPV_EyesackL8 1805
FACIAL_L_CheekInner1 9587
FACIAL_L_CheekInner2 9402
FACIAL_L_CheekInner3 22708
FACIAL_L_CheekInner4 22598
FACIAL_R_CheekInner1 15580
FACIAL_R_CheekInner2 15388
FACIAL_R_CheekInner3 19695
FACIAL_R_CheekInner4 19585
FACIAL_L_CheekOuter1 9958
FACIAL_L_CheekOuter2 23088
FACIAL_L_CheekOuter3 5114
FACIAL_R_CheekOuter1 15954
FACIAL_R_CheekOuter2 20075
FACIAL_R_CheekOuter3 2043
FACIAL_L_CheekOuter4 5021
FACIAL_R_CheekOuter4 1950
FACIAL_L_12IPV_CheekOuter1 9795
FACIAL_R_12IPV_CheekOuter1 15789
FACIAL_L_12IPV_CheekOuter2 22881
FACIAL_R_12IPV_CheekOuter2 19868
FACIAL_L_12IPV_CheekOuter3 22961
FACIAL_R_12IPV_CheekOuter3 19948
FACIAL_L_12IPV_CheekOuter4 22877
FACIAL_R_12IPV_CheekOuter4 19864
FACIAL_C_12IPV_NoseBridge1 15834
FACIAL_L_12IPV_NoseBridge1 22834
FACIAL_R_12IPV_NoseBridge1 19821
FACIAL_C_12IPV_NoseBridge2 2940
FACIAL_L_12IPV_NoseBridge2 9851
FACIAL_R_12IPV_NoseBridge2 15843
FACIAL_L_NoseBridge 9698
FACIAL_R_NoseBridge 15688
FACIAL_C_NoseUpper 2936
FACIAL_L_NoseUpper 4941
FACIAL_R_NoseUpper 1870
FACIAL_C_12IPV_NoseUpper1 2938
FACIAL_C_12IPV_NoseUpper2 15397
FACIAL_L_12IPV_NoseUpper1 4913
FACIAL_R_12IPV_NoseUpper1 1842
FACIAL_L_12IPV_NoseUpper2 9409
FACIAL_R_12IPV_NoseUpper2 15395
FACIAL_L_12IPV_NoseUpper3 4915
FACIAL_R_12IPV_NoseUpper3 1844
FACIAL_L_12IPV_NoseUpper4 9407
FACIAL_R_12IPV_NoseUpper4 15393
FACIAL_L_12IPV_NoseUpper5 9662
FACIAL_R_12IPV_NoseUpper5 15653
FACIAL_L_12IPV_NoseUpper6 22604
FACIAL_R_12IPV_NoseUpper6 19591
FACIAL_L_NasolabialBulge1 22594
FACIAL_R_NasolabialBulge1 19581
FACIAL_L_12IPV_NasolabialB13 22338
FACIAL_R_12IPV_NasolabialB13 19325
FACIAL_L_12IPV_NasolabialB14 4792
FACIAL_R_12IPV_NasolabialB14 1721
FACIAL_L_12IPV_NasolabialB15 9468
FACIAL_R_12IPV_NasolabialB15 15454
FACIAL_L_NasolabialBulge2 3828
FACIAL_L_NasolabialBulge3 4581
FACIAL_L_12IPV_NasolabialB1 9452
FACIAL_L_12IPV_NasolabialB2 3665
FACIAL_L_12IPV_NasolabialB3 7256
FACIAL_L_12IPV_NasolabialB4 9458
FACIAL_L_12IPV_NasolabialB5 3697
FACIAL_L_12IPV_NasolabialB6 7285
FACIAL_L_12IPV_NasolabialB7 9462
FACIAL_L_12IPV_NasolabialB8 3709
FACIAL_L_12IPV_NasolabialB9 7303
FACIAL_L_12IPV_NasolabialB10 9414
FACIAL_L_12IPV_NasolabialB11 3723
FACIAL_L_12IPV_NasolabialB12 7324
FACIAL_R_NasolabialBulge2 757
FACIAL_R_NasolabialBulge3 1510
FACIAL_R_12IPV_NasolabialB1 15440
FACIAL_R_12IPV_NasolabialB2 594
